# kind	identity	v1.0.0 GitHub Actions elapsed seconds
package	kicadai/internal/compositionlowering	208.708
package	kicadai/internal/schematicir	75.240
package	kicadai/internal/capabilityfeedback	53.253
package	kicadai/internal/designworkflow	38.805
package	kicadai/internal/circuitgraph	26.189
package	kicadai/cmd/kicadai	21.241
package	kicadai/internal/capabilityroundsv9	10.189
package	kicadai/internal/architecturesearch	10.049
test	TestWindowedHeatingPowerPassesElectricalAndSafetyCorners	72.590
test	TestDefaultSearchCurrentLimitedFirstTrialIsPhysicallyReady	69.020
test	TestPowerTransferCompoundFollowerReachesBoundedAudioEnvelope	64.780
test	TestCurrentLimitedSwitchRelationshipBuildsFeedbackProtectedPath	40.260
test	TestPowerTransferCandidatesReachTrustedSimulation	38.860
test	TestProtectedCurrentDriverRepairTraceReplaysAndFailsClosedPrecisely	27.860
test	TestSignedWindowRelationshipPassesElectricalAndSafetyCorners	18.880
test	TestHighSideUndervoltageDisconnectPassesAbsoluteThresholdCorners	18.790
test	TestSynthesizeV18PromotesLowVoltageMultiOutputThresholdCase	16.040
test	TestControlledSwitchRelationshipComposesRegulatedLoadRail	11.020
test	TestControlledSwitchRelationshipDerivesProtectedDecisionOperatingEnvelope	10.980
test	TestV18EvaluationPassesLowVoltageMultiOutputThresholdCase	8.140
test	TestSelectiveMidbandArchitecturesReachTrustedSimulation	7.200
test	TestMultiOutputObligationsPermitIndependentPowerTransfer	7.040
test	TestWindowedControlledSwitchComposesSharedDecisionAndProtectedPower	5.990
test	TestPowerTransferPeakHeadroomBiasCompositionAvoidsNominalClipping	5.790
test	TestSynchronousBuckPhysicalSupportUsesLocalizedSMDParts	5.590
test	TestHeldOutPolarityFailureRecoversThroughCrossStageCoordinator	5.590
test	TestFrequencySelectiveHeldOutCandidateReachesTrustedSimulation	3.840
test	TestSynthesizeV16PreservesFrozenSynthesisEvidence	2.340
test	TestSynthesizeV17PreservesFrozenSynthesisOutcomeWithBoundedEvidence	2.320
test	TestSynthesizeV15PreservesFrozenSynthesisEvidence	2.320
test	TestSynthesizeV14PreservesFrozenSynthesisEvidence	2.300
test	TestSynthesizeRetainsDeterministicBoundedEvidenceAcrossTopologies	2.270
test	TestHeldOutFeedbackPolarityFailureRecoversCausally	2.040
test	TestV19BeamPermutationReplayIsByteStable	1.490
